City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
11,Laohekou,CN,76.08,light rain,32.3858,111.6678,Laohekou Hotel
14,Atuona,PF,77.41,light rain,-9.8,-139.0333,Villa Enata
15,Jamestown,US,78.39,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
17,Pangody,RU,77.32,clear sky,65.85,74.4859,Elizaveta Shevchuk's House
18,Southbridge,US,82.47,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
19,Nagyhegyes,HU,84.34,clear sky,47.5395,21.3444,Levendula Apartman Nagyhegyes
27,Neiafu,TO,75.61,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
30,San Patricio,US,87.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
36,Finschhafen,PG,78.03,overcast clouds,-6.6024,147.8681,Cossam Guest House
40,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Kavieng,PG,82.33,moderate rain,-2.5744,150.7967,Nusa Island Retreat
45,Lata,PT,79.36,clear sky,40.1629,-8.3327,Casa Maquia
47,Port Blair,IN,82.53,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
48,Waldoboro,US,78.1,overcast clouds,44.0954,-69.3756,Le Vatout Bed & Breakfast
50,Bengkulu,ID,78.21,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
54,Sinnamary,GF,79.99,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
58,Torbay,CA,75.88,broken clouds,47.6666,-52.7314,Gallows Cove
66,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
67,Sompeta,IN,85.21,overcast clouds,18.9333,84.6,Netaji's Home
77,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
78,Palm Beach Gardens,US,87.98,light rain,26.8234,-80.1386,DoubleTree by Hilton Hotel and Executive Meeting Center Palm Beach Gardens
79,Cabo San Lucas,MX,83.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
84,Zlobin,HR,78.1,few clouds,45.2924,14.6541,Hotel Bitoraj Fuzine
85,Bethel,US,81.1,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
86,Bambanglipuro,ID,77.29,clear sky,-7.95,110.2833,Puri Brata
97,Mangrol,IN,82.42,broken clouds,21.1167,70.1167,Hotel The Royal Honours
100,Waren,DE,78.03,broken clouds,53.5167,12.6833,Ringhotel Villa Margarete
104,Bandarbeyla,SO,78.24,clear sky,9.4942,50.8122,JABIR HOTEL
108,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
111,Camacha,PT,75.52,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
114,Belmonte,BR,77.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
117,Asau,RO,83.39,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
119,Sao Jose Da Coroa Grande,BR,77.94,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
