City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,73.8,80,6,8.05,clear sky
1,Esperance,AU,-33.8667,121.9,61.25,47,99,12.91,overcast clouds
2,Plettenberg Bay,ZA,-34.0527,23.3716,62.56,69,87,6.4,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,73.8,80,6,8.05,clear sky
4,Esperance,AU,-33.8667,121.9,61.25,47,99,12.91,overcast clouds
5,Plettenberg Bay,ZA,-34.0527,23.3716,62.56,69,87,6.4,overcast clouds
6,Cape Town,ZA,-33.9258,18.4232,67.12,73,100,1.99,overcast clouds
7,Dikson,RU,73.5069,80.5464,50.07,71,15,10.56,few clouds
8,Saskylakh,RU,71.9167,114.0833,49.5,76,10,7.92,clear sky
9,Georgetown,MY,5.4112,100.3354,84.88,78,20,3.44,few clouds
10,Port Lincoln,AU,-34.7333,135.8667,55.74,69,82,6.78,broken clouds
11,Laohekou,CN,32.3858,111.6678,76.08,74,92,3.91,light rain
12,Royal Tunbridge Wells,GB,51.1325,0.2633,68.2,82,78,19.73,broken clouds
13,Port Macquarie,AU,-31.4333,152.9167,49.96,100,10,2.3,clear sky
14,Atuona,PF,-9.8,-139.0333,77.41,81,89,19.37,light rain
15,Jamestown,US,42.097,-79.2353,78.39,75,40,1.01,scattered clouds
16,Hovd,MN,48.0056,91.6419,59.63,59,69,8.34,broken clouds
17,Pangody,RU,65.85,74.4859,77.32,41,5,6.2,clear sky
18,Southbridge,US,42.0751,-72.0334,82.47,73,97,7.76,overcast clouds
19,Nagyhegyes,HU,47.5395,21.3444,84.34,26,8,7.18,clear sky
20,Puerto Ayora,EC,-0.7393,-90.3518,70.56,86,96,5.99,overcast clouds
21,Strezhevoy,RU,60.7333,77.5889,69.78,64,95,2.86,overcast clouds
22,Vaini,TO,-21.2,-175.2,68.16,83,40,9.22,scattered clouds
23,East London,ZA,-33.0153,27.9116,65.08,67,33,8.81,scattered clouds
24,Hualmay,PE,-11.0964,-77.6139,64.85,77,69,8.77,broken clouds
25,Ahipara,NZ,-35.1667,173.1667,53.35,83,29,7.56,scattered clouds
26,Barrow,US,71.2906,-156.7887,35.62,82,90,6.91,haze
27,Neiafu,TO,-18.65,-173.9833,75.61,60,66,13.09,broken clouds
28,New Norfolk,AU,-42.7826,147.0587,39.7,81,53,2.17,broken clouds
29,Yellowknife,CA,62.456,-114.3525,58.68,93,99,12.28,moderate rain
30,San Patricio,US,28.017,-97.5169,87.69,74,0,8.48,clear sky
31,Mataura,NZ,-46.1927,168.8643,35.47,99,100,1.74,overcast clouds
32,Najran,SA,17.4924,44.1277,97.45,17,80,13.53,broken clouds
33,Albany,US,42.6001,-73.9662,79.81,78,100,2.42,overcast clouds
34,Bluff,NZ,-46.6,168.3333,35.8,65,100,5.91,overcast clouds
35,Tuatapere,NZ,-46.1333,167.6833,35.82,94,100,1.21,overcast clouds
36,Finschhafen,PG,-6.6024,147.8681,78.03,82,100,8.75,overcast clouds
37,Klaksvik,FO,62.2266,-6.589,68.92,89,100,18.28,overcast clouds
38,Longyearbyen,SJ,78.2186,15.6401,48.04,71,75,14.97,broken clouds
39,Punta Arenas,CL,-53.15,-70.9167,35.62,93,75,32.21,light shower snow
40,Kapaa,US,22.0752,-159.319,79.12,75,40,1.99,light rain
41,La Ronge,CA,55.1001,-105.2842,66.42,88,40,3.44,scattered clouds
42,Carnarvon,AU,-24.8667,113.6333,68.07,90,90,9.22,overcast clouds
43,Cap-Aux-Meules,CA,47.3821,-61.8597,69.85,83,75,17.27,broken clouds
44,Kavieng,PG,-2.5744,150.7967,82.33,78,85,16.04,moderate rain
45,Lata,PT,40.1629,-8.3327,79.36,32,4,13.09,clear sky
46,Betsiamites,CA,48.9413,-68.646,72.0,94,100,11.43,overcast clouds
47,Port Blair,IN,11.6667,92.75,82.53,83,99,16.33,overcast clouds
48,Waldoboro,US,44.0954,-69.3756,78.1,83,100,5.26,overcast clouds
49,Umea,SE,63.8284,20.2597,71.53,37,0,16.11,clear sky
50,Bengkulu,ID,-3.8004,102.2655,78.21,86,16,2.3,few clouds
