City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bray,IE,2021-08-06 23:48:00,53.2028,-6.0983,59.07,92,99,8.99
1,Albany,US,2021-08-06 23:39:02,42.6001,-73.9662,83.05,72,35,1.86
2,Zhigansk,RU,2021-08-06 23:41:10,66.7697,123.3711,62.71,40,82,6.55
3,Korla,CN,2021-08-06 23:40:42,41.7597,86.1469,78.57,33,72,3.33
4,Bulawayo,ZW,2021-08-06 23:48:00,-20.15,28.5833,54.16,33,0,5.48
5,Hithadhoo,MV,2021-08-06 23:39:07,-0.6,73.0833,80.2,72,99,2.04
6,Avarua,CK,2021-08-06 23:39:05,-21.2078,-159.775,78.85,69,20,12.66
7,Abbeville,FR,2021-08-06 23:48:01,50.1,1.8333,60.76,91,41,7.4
8,Geraldton,AU,2021-08-06 23:39:20,-28.7667,114.6,57.61,51,90,17.27
9,Bredasdorp,ZA,2021-08-06 23:39:06,-34.5322,20.0403,52.92,94,0,2.3
10,Alyangula,AU,2021-08-06 23:48:01,-13.8483,136.4192,73.27,56,61,8.05
11,Itaguai,BR,2021-08-06 23:48:02,-22.8522,-43.7753,69.48,82,0,3.44
12,Arraial Do Cabo,BR,2021-08-06 23:39:21,-22.9661,-42.0278,68.27,68,86,16.89
13,Taltal,CL,2021-08-06 23:48:03,-25.4,-70.4833,57.07,78,24,3.56
14,Leningradskiy,RU,2021-08-06 23:48:03,69.3833,178.4167,36.95,83,100,5.77
15,Port Alfred,ZA,2021-08-06 23:39:10,-33.5906,26.891,57.31,79,44,3.18
16,Rikitea,PF,2021-08-06 23:39:10,-23.1203,-134.9692,74.53,76,12,13.56
17,Dikson,RU,2021-08-06 23:39:11,73.5069,80.5464,47.44,86,100,10.94
18,Mataura,NZ,2021-08-06 23:39:01,-46.1927,168.8643,39.47,91,100,8.61
19,Kuhdasht,IR,2021-08-06 23:48:04,33.535,47.6061,76.01,37,43,3.65
20,San Quintin,MX,2021-08-06 23:40:36,30.4833,-115.95,73.38,70,2,10.36
21,Codrington,AU,2021-08-06 23:41:21,-38.2667,141.9667,52.68,83,100,11.45
22,Asau,RO,2021-08-06 23:40:18,46.4333,26.4,62.96,69,23,5.39
23,Hermanus,ZA,2021-08-06 23:39:00,-34.4187,19.2345,51.91,86,0,5.17
24,Mahebourg,MU,2021-08-06 23:40:00,-20.4081,57.7,70.09,73,20,10.36
25,Butaritari,KI,2021-08-06 23:39:53,3.0707,172.7902,84.33,61,3,9.95
26,Ancud,CL,2021-08-06 23:39:57,-41.8697,-73.8203,44.13,77,70,11.99
27,Bengkulu,ID,2021-08-06 23:39:40,-3.8004,102.2655,76.05,89,86,3.42
28,Sharan,RU,2021-08-06 23:48:05,54.8167,54.0,53.17,70,64,3.18
29,Busselton,AU,2021-08-06 23:39:01,-33.65,115.3333,54.05,73,43,16.02
30,Punta Arenas,CL,2021-08-06 23:39:21,-53.15,-70.9167,33.91,93,90,23.02
31,Puerto Ayora,EC,2021-08-06 23:39:01,-0.7393,-90.3518,71.55,89,77,7.0
32,Nokha,IN,2021-08-06 23:48:06,27.6,73.4167,85.17,57,94,12.75
33,Half Moon Bay,US,2021-08-06 23:39:09,37.4636,-122.4286,95.74,71,1,10.36
34,Poroshkovo,UA,2021-08-06 23:48:06,48.6683,22.7533,56.91,89,20,2.53
35,Port Lincoln,AU,2021-08-06 23:40:51,-34.7333,135.8667,57.18,63,100,2.24
36,Acarau,BR,2021-08-06 23:48:06,-2.8856,-40.12,79.09,73,11,18.12
37,Catamarca,AR,2021-08-06 23:48:07,-28.4696,-65.7852,72.77,41,0,8.01
38,Sussex,US,2021-08-06 23:43:59,41.1834,-74.6663,85.48,71,1,3.44
39,Vaini,TO,2021-08-06 23:39:03,-21.2,-175.2,77.16,78,20,14.97
40,Kapaa,US,2021-08-06 23:39:14,22.0752,-159.319,86.32,75,40,7.0
41,Thompson,CA,2021-08-06 23:39:22,55.7435,-97.8558,71.76,37,90,4.61
42,East London,ZA,2021-08-06 23:39:17,-33.0153,27.9116,61.23,71,82,5.48
43,Skibbereen,IE,2021-08-06 23:48:07,51.55,-9.2667,58.8,93,100,22.55
44,Challapata,BO,2021-08-06 23:48:08,-18.9,-66.7667,45.57,21,0,3.56
45,Kovdor,RU,2021-08-06 23:48:08,67.5662,30.4758,53.58,71,83,4.16
46,Lagoa,PT,2021-08-06 23:39:28,39.05,-27.9833,68.5,69,77,15.17
47,Mirnyy,RU,2021-08-06 23:48:09,62.5353,113.9611,62.06,46,2,7.96
48,Constitucion,CL,2021-08-06 23:40:15,-35.3333,-72.4167,50.99,93,100,7.87
49,Jamestown,US,2021-08-06 23:38:16,42.097,-79.2353,81.72,61,1,11.5
50,Tasiilaq,GL,2021-08-06 23:39:05,65.6145,-37.6368,44.76,88,100,2.46
51,Yellowknife,CA,2021-08-06 23:39:33,62.456,-114.3525,74.28,46,75,8.05
52,Kudahuvadhoo,MV,2021-08-06 23:48:09,2.6708,72.8944,76.55,87,100,12.39
53,Kutum,SD,2021-08-06 23:48:10,14.2,24.6667,71.83,74,98,17.49
54,Atuona,PF,2021-08-06 23:39:03,-9.8,-139.0333,78.28,78,17,18.21
55,Storforshei,NO,2021-08-06 23:48:10,66.4043,14.5233,58.66,70,96,5.86
56,Hobart,AU,2021-08-06 23:39:19,-42.8794,147.3294,53.46,56,75,12.66
57,Byron Bay,AU,2021-08-06 23:48:10,-28.65,153.6167,69.06,61,5,1.14
58,Lancaster,US,2021-08-06 23:45:31,40.2504,-76.2499,85.23,61,1,1.01
59,Husavik,IS,2021-08-06 23:48:11,66.0449,-17.3389,53.51,86,3,1.03
60,Port Elizabeth,ZA,2021-08-06 23:39:07,-33.918,25.5701,50.09,93,0,3.44
61,Baisha,CN,2021-08-06 23:48:11,26.5222,110.9311,80.8,89,81,0.92
62,Castro,BR,2021-08-06 23:39:46,-24.7911,-50.0119,54.9,92,92,5.41
63,Carnarvon,AU,2021-08-06 23:40:17,-24.8667,113.6333,66.27,57,90,9.22
64,Upernavik,GL,2021-08-06 23:39:26,72.7868,-56.1549,42.94,89,100,7.4
65,Jutai,BR,2021-08-06 23:48:12,-5.1833,-68.9,80.35,51,20,2.1
66,Taksimo,RU,2021-08-06 23:48:12,56.3444,114.8794,63.75,77,53,1.45
